,Name,Network,Announced,Status,dimensions,wight,build,sim,displaytype,displaysize,displayresolution,O_S,chipset,CPU,cardslot,internal,quad,features,video_main,single,video_selfie,Loudspeaker,wlan,bluetooth,nfc,radio,usb,sensors,battery_type,price
43,Samsung Galaxy S20 Ultra,GSM / CDMA / HSPA / EVDO / LTE,"2020, February 11","Available. Released 2020, March 15",166.9 x 76 x 8.8 mm (6.57 x 2.99 x 0.35 in),220 g (7.76 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame","Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED 2X, 120Hz, HDR10+, 1400 nits (peak)","6.9 inches, 114.0 cm2 (~89.9% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~511 ppi density)","Android 10, One UI 2.5",Exynos 990 (7 nm+)Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55)Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),microSDXC (uses shared SIM slot),128GB 12GB RAM,"108 MP, f/1.8, 26mm (wide), 1/1.33"", 0.8µm, PDAF, OIS
48 MP, f/3.5, 103mm (periscope telephoto), 1/2.0"", 0.8µm, PDAF, OIS, 4x optical zoom, 10x hybrid zoom
12 MP, f/2.2, 13mm (ultrawide), 1.4µm, Super Steady video
0.3 MP, TOF 3D, f/1.0, (depth)","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","40 MP, f/2.2, 26mm (wide), 0.7µm, PDAF","4K@30/60fps, 1080p@30fps",166.9 x 76 x 8.8 mm (6.57 x 2.99 x 0.35 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",166.9 x 76 x 8.8 mm (6.57 x 2.99 x 0.35 in),Yes,FM radio (USA & Canada only),"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","Li-Po 5000 mAh, non-removable","$ 954.99 / € 1,171.29 / £ 1,003.50 / ₹ 77,190"
44,Samsung Galaxy S20+ 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2020, February 11","Available. Released 2020, March 06",161.9 x 73.7 x 7.8 mm (6.37 x 2.90 x 0.31 in),188 g (6.63 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame","Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED 2X, 120Hz, HDR10+","6.7 inches, 108.0 cm2 (~90.5% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~525 ppi density)","Android 10, upgradable to Android 11, One UI 3.0",Exynos 990 (7 nm+) - GlobalQualcomm SM8250 Snapdragon 865 (7 nm+) - USA,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA,microSDXC (uses shared SIM slot),"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
64 MP, f/2.0, 29mm (telephoto), 1/1.72"", 0.8µm, PDAF, OIS, 1.1x optical zoom, 3x hybrid zoom
12 MP, f/2.2, 13mm (ultrawide), 1.4µm, Super Steady video
0.3 MP, TOF 3D, f/1.0, (depth)","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF","4K@30/60fps, 1080p@30fps",161.9 x 73.7 x 7.8 mm (6.37 x 2.90 x 0.31 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",161.9 x 73.7 x 7.8 mm (6.37 x 2.90 x 0.31 in),Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","Li-Po 4500 mAh, non-removable",$ 649.00 / € 809.00 / £ 675.00
45,Samsung Galaxy S20+,GSM / CDMA / HSPA / EVDO / LTE,"2020, February 11","Available. Released 2020, March 06",161.9 x 73.7 x 7.8 mm (6.37 x 2.90 x 0.31 in),186 g (6.56 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame","Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED 2X, 120Hz, HDR10+","6.7 inches, 108.0 cm2 (~90.5% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~525 ppi density)","Android 10, One UI 2.5",Exynos 990 (7 nm+) - GlobalQualcomm SM8250 Snapdragon 865 (7 nm+) - USA,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA,microSDXC (uses shared SIM slot),128GB 8GB RAM,"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
64 MP, f/2.0, 29mm (telephoto), 1/1.72"", 0.8µm, PDAF, OIS, 1.1x optical zoom, 3x hybrid zoom
12 MP, f/2.2, 13mm (ultrawide), 1.4µm, Super Steady video
0.3 MP, TOF 3D, f/1.0, (depth)","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF","4K@30/60fps, 1080p@30fps",161.9 x 73.7 x 7.8 mm (6.37 x 2.90 x 0.31 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",161.9 x 73.7 x 7.8 mm (6.37 x 2.90 x 0.31 in),Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","Li-Po 4500 mAh, non-removable",$ 649.99 / € 687.79 / £ 629.99
46,Samsung Galaxy S20 5G UW,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2020, May 20","Available. Released 2020, June 04",151.7 x 69.1 x 8.1 mm (5.97 x 2.72 x 0.32 in),168.1 g (5.93 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",Pre-installed Nano-SIM,"Dynamic AMOLED 2X, 120Hz, HDR10+","6.2 inches, 92.8 cm2 (~88.5% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~566 ppi density)","Android 10, One UI 2.5",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),No,128GB 8GB RAM,"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
64 MP, f/2.0, 29mm (telephoto), 1/1.72"", 0.8µm, PDAF, OIS, 1.1x optical zoom, 3x hybrid zoom
12 MP, f/2.2, 13mm (ultrawide), 1.4µm, Super Steady video","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF","4K@30/60fps, 1080p@30fps",151.7 x 69.1 x 8.1 mm (5.97 x 2.72 x 0.32 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",151.7 x 69.1 x 8.1 mm (5.97 x 2.72 x 0.32 in),Yes,FM radio,"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","Li-Po 4000 mAh, non-removable",About 880 EUR
47,Samsung Galaxy S20 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2020, February 11","Available. Released 2020, March 06",151.7 x 69.1 x 7.9 mm (5.97 x 2.72 x 0.31 in),163 g (5.75 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame","Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED 2X, 120Hz, HDR10+","6.2 inches, 93.8 cm2 (~89.5% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~563 ppi density)","Android 10, upgradable to Android 11, One UI 3.0",Exynos 990 (7 nm+) - GlobalQualcomm SM8250 Snapdragon 865 (7 nm+) - USA,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 128GB 12GB RAM","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
64 MP, f/2.0, 29mm (telephoto), 1/1.72"", 0.8µm, PDAF, OIS, 1.1x optical zoom, 3x hybrid zoom
12 MP, f/2.2, 13mm (ultrawide), 1.4µm, Super Steady video","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF","4K@30/60fps, 1080p@30fps",151.7 x 69.1 x 7.9 mm (5.97 x 2.72 x 0.31 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",151.7 x 69.1 x 7.9 mm (5.97 x 2.72 x 0.31 in),Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","Li-Po 4000 mAh, non-removable",$ 779.00 / € 730.79 / £ 679.99
48,Samsung Galaxy S20,GSM / CDMA / HSPA / EVDO / LTE,"2020, February 11","Available. Released 2020, March 06",151.7 x 69.1 x 7.9 mm (5.97 x 2.72 x 0.31 in),163 g (5.75 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame","Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED 2X, 120Hz, HDR10+","6.2 inches, 93.8 cm2 (~89.5% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~563 ppi density)","Android 10, One UI 2.5",Exynos 990 (7 nm+) - GlobalQualcomm SM8250 Snapdragon 865 (7 nm+) - USA,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA,microSDXC (uses shared SIM slot),128GB 8GB RAM,"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
64 MP, f/2.0, 29mm (telephoto), 1/1.72"", 0.8µm, PDAF, OIS, 1.1x optical zoom, 3x hybrid zoom
12 MP, f/2.2, 13mm (ultrawide), 1.4µm, Super Steady video","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF","4K@30/60fps, 1080p@30fps",151.7 x 69.1 x 7.9 mm (5.97 x 2.72 x 0.31 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",151.7 x 69.1 x 7.9 mm (5.97 x 2.72 x 0.31 in),Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","Li-Po 4000 mAh, non-removable",$ 654.99 / € 694.94 / £ 599.00
49,Samsung Galaxy Z Flip,GSM / CDMA / HSPA / EVDO / LTE,"2020, February 11","Available. Released 2020, February 14",Unfolded: 167.3 x 73.6 x 7.2 mm Folded: 87.4 x 73.6 x 17.3 mm,183 g (6.46 oz),"Plastic front, glass back (Gorilla Glass 6), aluminum frame","Nano-SIM, eSIM","Foldable Dynamic AMOLED, HDR10+","6.7 inches, 101.6 cm2 (~82.5% screen-to-body ratio)",1080 x 2636 pixels (~425 ppi density),"Android 10, One UI 2.5",Qualcomm SM8150 Snapdragon 855+ (7 nm),Octa-core (1x2.95 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485),No,256GB 8GB RAM,"12 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.2, 123˚ (ultrawide), 1.12µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+","10 MP, f/2.4, 26mm (wide), 1.22µm",4K@30fps,Unfolded: 167.3 x 73.6 x 7.2 mm Folded: 87.4 x 73.6 x 17.3 mm,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Unfolded: 167.3 x 73.6 x 7.2 mm Folded: 87.4 x 73.6 x 17.3 mm,Yes,No,"USB Type-C 3.1, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 3300 mAh, non-removable","$ 774.99 / € 1,049.99 / £ 749.00 / ₹ 74,490"
50,Samsung Galaxy Tab S6 5G,GSM / HSPA / LTE / 5G,"2020, January 29","Available. Released 2020, January 30",244.5 x 159.5 x 5.7 mm (9.63 x 6.28 x 0.22 in),420 g (14.82 oz),"Glass front, aluminum back, aluminum frame",Nano-SIM,"Super AMOLED, HDR10+","10.5 inches, 321.9 cm2 (~82.5% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~287 ppi density)","Android 10, One UI 2",Qualcomm SM8150 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),microSDXC (dedicated slot),128GB 6GB RAM,"13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF
5 MP, f/2.2, 12mm (ultrawide), 1.12µm","HDR, panorama",4K@30fps,"8 MP, f/2.0, 26mm (wide), 1/4"", 1.12µm",1080p@30fps,244.5 x 159.5 x 5.7 mm (9.63 x 6.28 x 0.22 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",244.5 x 159.5 x 5.7 mm (9.63 x 6.28 x 0.22 in),No,No,USB Type-C 3.1; magnetic connector,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 7040 mAh, non-removable",About 800 EUR
51,Samsung Galaxy Xcover Pro,GSM / HSPA / LTE,"2020, January","Available. Released 2020, January",159.9 x 76.7 x 10 mm (6.30 x 3.02 x 0.39 in),218 g (7.69 oz),Not Found,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",IPS LCD ,"6.3 inches, 97.4 cm2 (~79.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Android 10, One UI 2",Exynos 9611 (10nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),microSDXC (dedicated slot),64GB 4GB RAM,"25 MP, f/1.7, 26mm (wide), PDAF
8 MP, f/2.2, 123˚ (ultrawide), 1/4.0"", 1.12µm","Dual-LED flash, HDR, panorama",1080p@30fps,"13 MP, f/2.0, (wide)",1080p@30fps,159.9 x 76.7 x 10 mm (6.30 x 3.02 x 0.39 in),"Wi-Fi 802.11 a/b/g/n/ac/k/v/r, dual-band, Wi-Fi Direct, hotspot",159.9 x 76.7 x 10 mm (6.30 x 3.02 x 0.39 in),Yes,FM radio,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4050 mAh, removable",$ 399.95 / € 427.99 / £ 428.50
52,Samsung Galaxy Note10 Lite,GSM / HSPA / LTE,"2020, January 03","Available. Released 2020, January 21",163.7 x 76.1 x 8.7 mm (6.44 x 3.00 x 0.34 in),199 g (7.02 oz),"Glass front (Gorilla Glass 3), aluminum frame, plastic back","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED, HDR","6.7 inches, 107.8 cm2 (~86.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~394 ppi density)","Android 10, One UI 2.5",Exynos 9810 (10 nm),Octa-core (4x2.7 GHz Mongoose M3 & 4x1.7 GHz Cortex-A55),microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM","12 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom
12 MP, f/2.2, 12mm (ultrawide)","LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60/240fps; gyro-EIS","32 MP, f/2.2, 25mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps",163.7 x 76.1 x 8.7 mm (6.44 x 3.00 x 0.34 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",163.7 x 76.1 x 8.7 mm (6.44 x 3.00 x 0.34 in),Yes,FM radio,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","$ 414.99 / € 439.00 / £ 423.20 / ₹ 37,999"
53,Samsung Galaxy S10 Lite,GSM / HSPA / LTE,"2020, January 03","Available. Released 2020, February 03",162.5 x 75.6 x 8.1 mm (6.40 x 2.98 x 0.32 in),186 g (6.56 oz),"Glass front (Gorilla Glass 3+), aluminum frame, plastic back","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED Plus, HDR10+","6.7 inches, 107.8 cm2 (~87.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~394 ppi density)","Android 10, One UI 2.5",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 512GB 8GB RAM","48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF, Super Steady OIS
12 MP, f/2.2, 12mm (ultrawide)
5 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60/240fps; gyro-EIS","32 MP, f/2.2, 25mm (wide), 1/2.8"", 0.8µm",1080p@30fps,162.5 x 75.6 x 8.1 mm (6.40 x 2.98 x 0.32 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",162.5 x 75.6 x 8.1 mm (6.40 x 2.98 x 0.32 in),Yes,FM radio (market/region dependent),USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","$ 469.99 / € 476.35 / £ 440.00 / ₹ 33,949"
54,Samsung Galaxy A01,GSM / HSPA / LTE,"2019, December 17","Available. Released 2020, January",146.2 x 70.9 x 8.3 mm (5.76 x 2.79 x 0.33 in),149 g (5.26 oz),"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",PLS IPS ,"5.7 inches, 81.6 cm2 (~78.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~294 ppi density)","Android 10, One UI 2",Qualcomm SDM439 Snapdragon 439 (12 nm),Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53),microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","13 MP, f/2.2, 28mm (wide), 1/3.1"", 1.12µm, AF
2 MP, f/2.4, (depth)",LED flash,1080p@30fps,"5 MP, f/2.2, 1/5"", 1.12µm",,146.2 x 70.9 x 8.3 mm (5.76 x 2.79 x 0.33 in),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",146.2 x 70.9 x 8.3 mm (5.76 x 2.79 x 0.33 in),No,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3000 mAh, non-removable",$ 51.61 / € 124.50 / £ 91.90
55,Samsung Galaxy A71,GSM / HSPA / LTE,"2019, December 12","Available. Released 2020, January 17",163.6 x 76 x 7.7 mm (6.44 x 2.99 x 0.30 in),179 g (6.31 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",Super AMOLED Plus ,"6.7 inches, 108.4 cm2 (~87.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 10, One UI 2.5",Qualcomm SDM730 Snapdragon 730 (8 nm) - GlobalQualcomm SDM730 Snapdragon 730G (8 nm) - Philippines,Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
12 MP, f/2.2, 123˚ (ultrawide)
5 MP, f/2.4, (macro)
5 MP, f/2.2, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30/240fps, 1080p@960fps; gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps",163.6 x 76 x 7.7 mm (6.44 x 2.99 x 0.30 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",163.6 x 76 x 7.7 mm (6.44 x 2.99 x 0.30 in),Yes (market dependent),FM radio,"USB Type-C 2.0, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 4500 mAh, non-removable","$ 347.99 / € 356.79 / £ 295.90 / ₹ 28,700"
56,Samsung Galaxy A51,GSM / HSPA / LTE,"2019, December 12","Available. Released 2019, December 16",158.5 x 73.6 x 7.9 mm (6.24 x 2.90 x 0.31 in),172 g (6.07 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",Super AMOLED ,"6.5 inches, 102.0 cm2 (~87.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Android 10, One UI 2.5",Exynos 9611 (10nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF
12 MP, f/2.2, 123˚ (ultrawide)
5 MP, f/2.4, (macro)
5 MP, f/2.2, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30/120fps; gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps",158.5 x 73.6 x 7.9 mm (6.24 x 2.90 x 0.31 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",158.5 x 73.6 x 7.9 mm (6.24 x 2.90 x 0.31 in),Yes,FM radio,"USB Type-C 2.0, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","$ 264.99 / € 274.99 / £ 221.90 / ₹ 22,999"
57,Samsung Galaxy Xcover FieldPro,GSM / HSPA / LTE,"2019, October","Available. Released 2020, April 06",158.5 x 80.7 x 14.2 mm (6.24 x 3.18 x 0.56 in),256 g (9.03 oz),Not Found,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",IPS LCD ,"5.1 inches, 71.7 cm2 (~56.1% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~576 ppi density)",Android 8.0 (Oreo),Exynos 9810 (10 nm),Octa-core (4x2.7 GHz Mongoose M3 & 4x1.8 GHz Cortex-A55),microSDXC (dedicated slot),64GB 4GB RAM,"12 MP, f/1.5-2.4, (wide), 1/2.55"", 1.4µm, PDAF","Triple-LED flash, HDR, panorama",1080p@30fps,"8 MP, f/1.7",1080p@30fps,158.5 x 80.7 x 14.2 mm (6.24 x 3.18 x 0.56 in),"Wi-Fi 802.11 a/b/g/n/ac/6/i/r, dual-band, Wi-Fi Direct, hotspot",158.5 x 80.7 x 14.2 mm (6.24 x 3.18 x 0.56 in),Yes,FM radio,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 4500 mAh, removable",About 1020 EUR
58,Samsung Galaxy A70s,GSM / HSPA / LTE,"2019, September","Available. Released 2019, September",164.3 x 76.7 x 7.9 mm (6.47 x 3.02 x 0.31 in),187 g (6.60 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",Super AMOLED ,"6.7 inches, 108.4 cm2 (~86.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 9.0 (Pie), upgradable to Android 10, One UI 2.5",Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.2, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30/240fps","32 MP, f/2.0, 25mm (wide), 1/2.8"", 0.8µm",1080p@30fps,164.3 x 76.7 x 7.9 mm (6.47 x 3.02 x 0.31 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",164.3 x 76.7 x 7.9 mm (6.47 x 3.02 x 0.31 in),Yes,FM radio,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable",About 380 EUR
